@CWAVERAGERATING,@CWTOTALCOMMENT,@PROCESSIDENTIFIER,@MATURITYLEVEL,@CANDIDATE,@ALTERNATENAME,@SPLITNAME,@FRAMEWORXSTATUS,@CANDIDATEMANDATORY,@CANDIDATEEXPLANATORY,@UNIQUEIDENTIFIER,@NAME,@NOTESFROMPREVIOUSDEVELOPMENT,@CANDIDATEOPTIONAL,@BRIEFDESCRIPTION,@SPECIFICATION,@EXPLANATORY,@TYPE,@DELETEDPROCESS,@DATEVALIDATED,@WHENCREATED,@MANDATORY,@OPTIONAL,@VALIDATED,@EXPORTFLAG,@NEWPROCESSIDENTIFIER,@SORTID,@TEMPLATE,@WHENUPDATED,@REFERENCES,@NOTE,@ETOMPROCESSCONTEXT,@DESCRIPTION,@INTERACTION,@CANDIDATEINTERACTIONS,@EHEALTHDESCRIPTION,@EHEALTHNAME,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
0.0,0.0,1.2.1.5.7.2,6c6a1773598011df88790026b9bf6441,0,2.3.7.2 Manage Product Improvements,Manage Product Improvements,,Deleted,Deleted,00686eff76c111e1a8e8002564cb911c,Manage Product Improvements[DELETED],,Deleted,Deleted,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:12,Reserved for future use.,Reserved for future use.,0,0,1.2.3.7.2 (This Process ID has been deliberately unused!),,0,2017-06-29T16:54:22,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Reserved for future use.,Deleted,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.5.7.3,6c6a1773598011df88790026b9bf6441,0,2.3.7.3 Manage Product Handover,Manage Product Handover,,Deleted,Deleted,00686f0276c111e1a8e8002564cb911c,Manage Product Handover[DELETED],,Deleted,Deleted,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:12,Reserved for future use.,Reserved for future use.,0,0,1.2.3.7.3 (This Process ID has been deliberately unused!),,0,2017-06-29T16:54:22,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Reserved for future use.,Deleted,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.5.8.1,6c6a1773598011df88790026b9bf6441,0,2.3.8.1 Identify Unviable Products,Identify Unviable Products,,Deleted,Deleted,00686f0576c111e1a8e8002564cb911c,Identify Unviable Products[DELETED],,Deleted,Deleted,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:12,Reserved for future use.,Reserved for future use.,0,0,1.2.3.8.1 (This Process ID has been deliberately unused!),,0,2017-06-29T16:54:20,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Reserved for future use.,Deleted,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.5.8.2,6c6a1773598011df88790026b9bf6441,0,2.3.8.2 Identify Impacted Product Customers,Identify Impacted Product Customers,,Deleted,Deleted,00686f0876c111e1a8e8002564cb911c,Identify Impacted Product Customers[DELETED],,Deleted,Deleted,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:13,Reserved for future use.,Reserved for future use.,0,0,1.2.3.8.2 (This Process ID has been deliberately unused!),,0,2017-06-29T16:54:19,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Reserved for future use.,Deleted,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.5.8.3,6c6a1773598011df88790026b9bf6441,0,2.3.8.3 Develop Product Transition Strategies,Develop Product Transition Strategies,,Deleted,Deleted,00686f0b76c111e1a8e8002564cb911c,Develop Product Transition Strategies[DELETED],,Deleted,Deleted,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:13,Reserved for future use.,Reserved for future use.,0,0,1.2.3.8.3 (This Process ID has been deliberately unused!),,0,2017-06-29T16:54:16,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Reserved for future use.,Deleted,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.5.8.4,6c6a1773598011df88790026b9bf6441,0,2.3.8.4 Manage Product Exit Process,Manage Product Exit Process,,Deleted,Deleted,00686f0e76c111e1a8e8002564cb911c,Manage Product Exit Process[DELETED],,Deleted,Deleted,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:13,Reserved for future use.,Reserved for future use.,0,0,1.2.3.8.4 (This Process ID has been deliberately unused!),,0,2017-06-29T16:54:22,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Reserved for future use.,Deleted,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.6.1.1,6c6a1773598011df88790026b9bf6441,0,1.5.1.1 Develop Sales & Channel Requirements,Develop Sales & Channel Requirements,b4509c908eca11e5bf18002590713bc0,"These processes develop the requirements for the introduction of new sales approaches and sales channels, as well as provide requirements for enhancements to existing sales approaches and channels.",Not used for this process element,00686f1176c111e1a8e8002564cb911c,Develop Sales & Channel Requirements,,Not used for this process element,"These processes develop the requirements for the introduction of new sales approaches and sales channels, as well as provide requirements for enhancements to existing sales approaches and channels.",,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,0,1899-12-30T00:00:00,2012-03-25T17:25:13,Reserved for future use.,Reserved for future use.,0,0,1.1.5.1.1,01.01.05.01.01,0,2017-07-13T20:11:55,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Not used for this process element,Reserved for future use.,Not used for this process element,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.6.1.2,6c6a1773598011df88790026b9bf6441,0,1.5.1.2 Monitor Sales & Channel Practices,Monitor Sales & Channel Practices,b4509c908eca11e5bf18002590713bc0,"The monitoring captures issues with sales and channel practices.  These can include areas such as compensation plans, product related sales training approaches and techniques, prospective customer identification methodologies, selling processes/methods and procedures for new products.",These processes ensure that the enterprise can provide sales and channel capabilities as effectively as possible at all times.,00686f1476c111e1a8e8002564cb911c,Monitor Sales & Channel Practices,,Not used for this process element,"These processes ensure that the enterprise can provide sales and channel capabilities as effectively as possible at all times. The monitoring captures issues such as compensation plans, product related sales training approaches and techniques, prospective customer identification methodologies, selling processes/methods and procedures for new products.",,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,0,1899-12-30T00:00:00,2012-03-25T17:25:13,Reserved for future use.,Reserved for future use.,0,0,1.1.5.1.2,01.01.05.01.02,0,2017-07-13T20:11:55,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Not used for this process element,Reserved for future use.,Not used for this process element,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.6.2.1,6c6a1773598011df88790026b9bf6441,0,1.5.2.1 Create Sales Proposals,Create Sales Proposals,b4509c908eca11e5bf18002590713bc0,"The processes define proposals to change existing sales processes and/or channels, or to develop new sales processes and/or channels. These processes undertake the necessary identification of the needs of products, and an analysis of the existing or proposed enterprise sales process and/or channel capabilities.  These processes include defining product sales targets for each channel, as well as sales and sales personnel performance indicators for each channel.",These processes create and document proposals for sales processes and sales channels.,00686f1776c111e1a8e8002564cb911c,Create Sales Proposals,,Not used for this process element,"These processes create and document proposals for sales processes and sales channels. The processes define proposals to change existing sales processes and/or channels, or to develop new sales processes and/or channels. These processes undertake the necessary identification of the needs of products, and an analysis of the existing or proposed enterprise sales process and/or channel capabilities. The proposals can be based on industry analysis from the Monitoring Sales & Channel Best Practice processes, on feedback of the effectiveness of existing sales channels from the Selling processes, or on specific requirements associated with the development of new or enhanced products. These processes include defining product sales targets for each channel, as well as sales and sales personnel performance indicators for each channel.",,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,0,1899-12-30T00:00:00,2012-03-25T17:25:13,Reserved for future use.,Reserved for future use.,0,0,1.1.5.2.1,01.01.05.02.01,0,2017-07-13T20:11:55,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Not used for this process element,Reserved for future use.,"The proposals can be based on industry analysis from the Monitoring Sales & Channel Best Practice processes, on feedback of the effectiveness of existing sales channels from the Selling processes, or on specific requirements associated with the development of new or enhanced products.",,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.6.2.2,6c6a1773598011df88790026b9bf6441,0,1.5.2.2 Gain Sales Proposals Approval,Gain Sales Proposals Approval,b4509c908eca11e5bf18002590713bc0,These processes gain approval for proposals for sales processes and sales channels.,Not used for this process element,00686f1a76c111e1a8e8002564cb911c,Gain Sales Proposals Approval,,Not used for this process element,These processes gain approval for proposals for sales processes and sales channels.,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,0,1899-12-30T00:00:00,2012-03-25T17:25:13,Reserved for future use.,Reserved for future use.,0,0,1.1.5.2.2,01.01.05.02.02,0,2017-07-13T20:11:55,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Not used for this process element,Reserved for future use.,Not used for this process element,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.6.3.1,6c6a1773598011df88790026b9bf6441,0,1.5.3.1 Develop External Relationships,Develop External Relationships,b4509c908eca11e5bf18002590713bc0,Not used for this process element,Not used for this process element,00686f1d76c111e1a8e8002564cb911c,Develop External Relationships,,These processes develop  external relationships if required to provide the necessary sales channel capability.,These processes develop  external relationships if required to provide the necessary sales channel capability.,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,0,1899-12-30T00:00:00,2012-03-25T17:25:13,Reserved for future use.,Reserved for future use.,0,0,1.1.5.3.1,01.01.05.03.01,0,2017-07-13T20:11:55,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Not used for this process element,Reserved for future use.,Not used for this process element,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.6.3.2,6c6a1773598011df88790026b9bf6441,0,1.5.3.2 Manage Process & Channel Coordination,Manage Process & Channel Coordination,b4509c908eca11e5bf18002590713bc0,These processes manage the coordination and integration of existing and new sales processes and channels to ensure effective operations.,Not used for this process element,00686f2076c111e1a8e8002564cb911c,Manage Process & Channel Coordination,,Not used for this process element,These processes manage the coordination and integration of existing and new sales processes and channels to ensure effective operations.,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,0,1899-12-30T00:00:00,2012-03-25T17:25:13,Reserved for future use.,Reserved for future use.,0,0,1.1.5.3.2,01.01.05.03.02,0,2017-07-13T20:11:55,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Not used for this process element,Reserved for future use.,Not used for this process element,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.6.3.3,6c6a1773598011df88790026b9bf6441,0,1.5.3.3 Define Processes & Channels,Define Processes & Channels,b4509c908eca11e5bf18002590713bc0,"These processes include the definition of commercialization manpower profile, training program development and sales methods and procedures, compensation plans, identification of product potential customers to each channel and sale method",Not used for this process element,00686f2376c111e1a8e8002564cb911c,Define Processes & Channels,,Not used for this process element,"These processes include the definition of commercialization manpower profile, training program development and sales methods and procedures, compensation plans, identification of product potential customers to each channel and sale method",,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,0,1899-12-30T00:00:00,2012-03-25T17:25:13,Reserved for future use.,Reserved for future use.,0,0,1.1.5.3.3,01.01.05.03.03,0,2017-07-13T20:11:55,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Not used for this process element,Reserved for future use.,Not used for this process element,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.7.4.1,6c6a1773598011df88790026b9bf6441,0,1.6.4.1 Manage Collateral Production,Manage Collateral Production,,Deleted,Deleted,00686f2676c111e1a8e8002564cb911c,Manage Collateral Production[DELETED],,Deleted,Deleted,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:13,Reserved for future use.,Reserved for future use.,0,0,(This Process ID has been deliberately unused!),,0,2017-06-29T16:54:21,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Reserved for future use.,Deleted,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.7.4.2,6c6a1773598011df88790026b9bf6441,0,1.6.4.2 Manage Collateral Delivery,Manage Collateral Delivery,,Deleted,Deleted,00686f2976c111e1a8e8002564cb911c,Manage Collateral Delivery[DELETED],,Deleted,Deleted,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:13,Reserved for future use.,Reserved for future use.,0,0,(This Process ID has been deliberately unused!),,0,2017-06-29T16:54:21,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Reserved for future use.,Deleted,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.7.5.1,6c6a1773598011df88790026b9bf6441,0,1.6.5.1 Manage Channel Capability,Manage Channel Capability,,Deleted,Deleted,00686f2c76c111e1a8e8002564cb911c,Manage Channel Capability[DELETED],,Deleted,Deleted,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:13,Reserved for future use.,Reserved for future use.,0,0,(This Process ID has been deliberately unused!),,0,2017-06-29T16:54:21,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Reserved for future use.,Deleted,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.7.5.2,6c6a1773598011df88790026b9bf6441,0,1.6.5.2 Manage Channel Resources,Manage Channel Resources,,Deleted,Deleted,00686f2f76c111e1a8e8002564cb911c,Manage Channel Resources[DELETED],,Deleted,Deleted,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:13,Reserved for future use.,Reserved for future use.,0,0,(This Process ID has been deliberately unused!),,0,2017-06-29T16:54:21,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Reserved for future use.,Deleted,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.7.6.1,6c6a1773598011df88790026b9bf6441,0,1.6.6.1 Develop Message & Campaign Metrics,Develop Message & Campaign Metrics,,Deleted,Deleted,00686f3276c111e1a8e8002564cb911c,Develop Message & Campaign Metrics[DELETED],,Deleted,Deleted,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:13,Reserved for future use.,Reserved for future use.,0,0,(This Process ID has been deliberately unused!),,0,2017-06-29T16:54:16,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Reserved for future use.,Deleted,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.7.6.2,6c6a1773598011df88790026b9bf6441,0,1.6.6.2 Monitor Message & Campaign Metrics,Monitor Message & Campaign Metrics,,Deleted,Deleted,00686f3576c111e1a8e8002564cb911c,Monitor Message & Campaign Metrics[DELETED],,Deleted,Deleted,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:14,Reserved for future use.,Reserved for future use.,0,0,(This Process ID has been deliberately unused!),,0,2017-06-29T16:54:23,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Reserved for future use.,Deleted,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.7.6.3,6c6a1773598011df88790026b9bf6441,0,1.6.6.3 Analyze Message & Campaign Metrics,Analyze Message & Campaign Metrics,,Deleted,Deleted,00686f3876c111e1a8e8002564cb911c,Analyze Message & Campaign Metrics[DELETED],,Deleted,Deleted,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:14,Reserved for future use.,Reserved for future use.,0,0,(This Process ID has been deliberately unused!),,0,2017-06-29T16:54:09,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Reserved for future use.,Deleted,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.1.7.6.4,6c6a1773598011df88790026b9bf6441,0,1.6.6.4 Modify Message & Campaign,Modify Message & Campaign,,Deleted,Deleted,00686f3b76c111e1a8e8002564cb911c,Modify Message & Campaign[DELETED],,Deleted,Deleted,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,1,1899-12-30T00:00:00,2012-03-25T17:25:14,Reserved for future use.,Reserved for future use.,0,0,(This Process ID has been deliberately unused!),,0,2017-06-29T16:54:23,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.",Deleted,Reserved for future use.,Deleted,,,ADMIN,ADMIN,DFREED,,,
0.0,0.0,1.2.2.1.1.1,6c6a1773598011df88790026b9bf6441,0,4.1.1.1 Gather Service Information,Gather Service Information,b4509c908eca11e5bf18002590713bc0,Reserved for future use.,Reserved for future use.,00686f3e76c111e1a8e8002564cb911c,Gather Service Information,,Reserved for future use.,Establish and Management of  external Providers and internal  resources for providing service information,,Reserved for future use.,7001e89dcb2b11db9435000e3573f0d3,0,1899-12-30T00:00:00,2012-03-25T17:25:14,Reserved for future use.,Reserved for future use.,0,0,1.4.1.1.1,01.04.01.01.01,0,2017-07-13T20:12:24,,,"This process element represents part of the overall enterprise, modelled in business process terms, and can be applied (i.e. “instantiated”) with other similar process elements for application within a specific organization or domain.","Gather Service information processes  focus on establishment  and Management of relationships with external providers of service information, and management of internal resources used for providing service information.",Reserved for future use.,Reserved for future use.,,,ADMIN,ADMIN,DFREED,,,
