@TYPE,@ALTBUSINESSSCENARIONAME,@CWAVERAGERATING,@CWTOTALCOMMENT,@MATURITYLEVEL,@DESCRIPTION,@FLOWFIGUREDIAGRAMINORIGINALDOCUMENTATION,@BUSINESSSCENARIOID,@WHENCREATED,@POSTCONDITIONSAPPLICABLE,@BUSINESSRULESID,@BUSINESSSCENARIONNOTES,@NAME,@DATEVALIDATED,@TEMPLATE,@PROVIDED,@UNIQUEIDENTIFIER,@BUSINESSRULESAPPLICABLE,@WHENUPDATED,@VALIDATED,@EXPORTFLAG,@PRECONDITIONSAPPLICABLE,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
,Request Previous Billing Invoice,0.0,0.0,216e2e5f605011e4925a6817294aebff,,Figure 61 Request Billing Invoice Sequence Diagram,,2014-10-28T04:07:36,,,,Request Previous Billing Invoice,1899-12-30T00:00:00,0,,3917d35e5e8a11e4925a6817294aebff,service provider will allow a request for a previous Billing Invoice (XML or PDF version) for up to 90 days from the date of invoice notification.,2014-10-30T10:20:39,0,0,"external party has at least one active Billing Account.
Flow of events",32,32,32
,Query Billing Event File,0.0,0.0,216e2e5f605011e4925a6817294aebff,,Figure 66 Query Billing Event File Sequence Diagram,,2014-10-28T04:00:26,,,,Query Billing Event File,1899-12-30T00:00:00,0,,3c05b5dc5e8911e4925a6817294aebff,service provider will allow a query for a previous BEF for up to 90 days from the date of BEF notification.,2014-10-30T10:19:38,0,0,Flow Description,32,32,32
,Query Billing Invoice,0.0,0.0,216e2e5f605011e4925a6817294aebff,,Figure 67 Query Billing Invoice File Sequence Diagram,,2014-10-28T04:00:41,,,,Query Billing Invoice,1899-12-30T00:00:00,0,,424ed77d5e8911e4925a6817294aebff,service provider will allow a query for a previous Billing Invoice for up to 90 days from the date of BEF notification.,2014-10-30T10:19:43,0,0,Flow Description,32,32,32
c883b7595f4b11e4925a6817294aebff,BI-BP003 Request Previous BEF,0.0,0.0,216e2e5f605011e4925a6817294aebff,external party will have the ability to request a previously generated Billing Event File or Billing Adjustment File.,Figure 59 Request Previous BEF Sequence Diagram,BI-BP003,2014-10-29T03:16:36,The correct Billing Event File has been provided to the requesting external party in ETIS ETEB01 XML formats.,,"The flow does not cover message related errors or exceptions, and assumes a valid XML message and format.",Request Previous BEF,1899-12-30T00:00:00,0,,43e191fb5f4c11e4925a6817294aebff,,2014-10-30T10:20:29,0,0,"external party has at least one active Billing Account.
Flow of events",32,32,32
51b1e4eb5f4a11e4925a6817294aebff,OH-BP010 Query Order Details,0.0,0.0,216e2e5f605011e4925a6817294aebff,external party will be able to track the order handling progress of an End User order by initiating a request to retrieve an order state/status from service provider.,Figure 35 Request Order Details Sequence Diagram,OH-BP010,2014-10-28T04:00:55,external party received Order details.,,"The Flow does not cover message related errors or exceptions, and assumes a valid XML message and format.",Query Order Details,1899-12-30T00:00:00,0,,49d7348a5e8911e4925a6817294aebff,,2014-10-30T10:19:48,0,0,"The order exists and, if closed, has not been closed for longer than x months.
Note that external party may also use their own reference ID (AS Reference ID) to query order",32,32,32
4c0610a45f4b11e4925a6817294aebff,PC-BP001 Query Product Catalogue,0.0,0.0,216e2e5f605011e4925a6817294aebff,external party requests details of the WBA Product Catalogue based on their contract with service provider.,Figure 40 Query Product Catalogue Sequence Diagram,PC-BP001,2014-10-28T04:01:10,A list of Products and Product versions provided to external party.,,"The Flow does not cover message related errors or exceptions, and assumes a valid XML message and format.",Query Product Catalogue,1899-12-30T00:00:00,0,,50ccc5525e8911e4925a6817294aebff,,2014-10-30T10:19:53,0,0,"external party has certification to sell the service/s.
external party is authorised to query the WBA Product Catalogue.",32,32,32
,Submit order forecast,0.0,0.0,216e2e5f605011e4925a6817294aebff,,,,2014-10-28T03:53:56,,,,Submit order forecast,1899-12-30T00:00:00,0,,53ca5f7a5e8811e4925a6817294aebff,,2014-10-30T10:21:41,0,0,"external party is authorised to submit forecast for orders 
Products require or allow forecasts",32,32,32
,Order Management,0.0,0.0,216e2e5f605011e4925a6817294aebff,,,,2014-10-29T03:10:07,,,,Order Management,1899-12-30T00:00:00,0,,5e9242ea5f4b11e4925a6817294aebff,,2014-10-30T10:18:57,0,0,,32,32,32
6b7063bc5f4a11e4925a6817294aebff,TT-BP010 Query Trouble Ticket Attachment,0.0,0.0,216e2e5f605011e4925a6817294aebff,external party'sends query to request for a specific attachment associated with their Trouble Ticket.,Figure 56 Query Trouble Ticket Attachment,TT-BP010,2014-10-28T04:01:25,,,The flow does not cover message related errors or exceptions; it assumes a valid XML message and format.,Query Trouble Ticket Attachment,1899-12-30T00:00:00,0,,5ee400905e8911e4925a6817294aebff,,2014-10-30T10:19:58,0,0,"external party has a sent valid message
Provided:",32,32,32
6b7063bc5f4a11e4925a6817294aebff,TT-BP012 Notify Information Required,0.0,0.0,216e2e5f605011e4925a6817294aebff,"In cases where external party is unable to perform within the applicable timeframe, service provider sends a reminder message to external party. If no further response is received from external party, service provider will automatically cancel the order.
service provider has identified additional information is required from external party, who must complete an action before the Trouble Ticket can progress or be resolved. For instance, an End User Appointment may be necessary in which case the Notify Information Required is used to request external party to arrange an Appointment or reschedule an existing Appointment with the End user. 
Once external party has obtained the information required by service provider, external party responds to the request by executing the Trouble Ticket Amend operation, which would then follow the standard amend Trouble Ticket process. Alternatively in scenarios where an Appointment reschedule is required, external party will reschedule the Appointment which will automatically update the Trouble Ticket once confirmed (i.e. no amend Trouble Ticket operation is required).",Figure 58 Ticket Notify Information Required Process Flow,TT-BP012,2014-10-28T03:54:25,"Manual intervention, add the data to external party's system.
The wait times out ? see auto cancel flow.
Manual intervention, add the data to external party's system.",,The flow does not cover message related errors or exceptions; it assumes a valid XML message and format.,Notify Information Required,1899-12-30T00:00:00,0,,617edfdc5e8811e4925a6817294aebff,,2014-10-30T10:18:36,0,0,"The order exists and is incomplete.
The Trouble Ticket exists and is not closed. 
Flow of events",32,32,32
6b7063bc5f4a11e4925a6817294aebff,OH-BP009 Request More Time,0.0,0.0,216e2e5f605011e4925a6817294aebff,"external party has been requested to take action from service provider and they need more time to respond beyond the standard time period.
In cases where external party is unable to perform within the applicable timeframe, service provider sends a reminder message to external party. If no further response is received from external party, service provider will automatically cancel the order.
external party has been requested to take action from service provider and they need more time to respond beyond the standard time period.
In cases where external party is unable to perform within the applicable timeframe, service provider sends a reminder message to external party. If no further response is received from external party, service provider may resolve the Trouble Ticket.",Figure 34 external party Request More Time Sequence Diagram,OH-BP009,2014-10-28T03:54:29,"The order has been amended to include the additional information to complete processing the order.
external party request for more time has been accepted to perform required action, activity timer extended for order and notification of acceptance sent to external party. 
Resolve the Trouble Ticket.",,"The Flow does not cover message related errors or exceptions, and assumes a valid XML message and format.
The Flow does not cover message related errors or exceptions, and assumes a valid XML message and format.",Request More Time,1899-12-30T00:00:00,0,,617edfdd5e8811e4925a6817294aebff,,2014-10-30T10:20:19,0,0,"The order exists and is incomplete.
A request has been sent to external party to take action.
The Trouble Ticket exists and is yet to be resolved to closure.
A request has been sent to external party to take action.",32,32,32
,Appointment Management,0.0,0.0,216e2e5f605011e4925a6817294aebff,,,,2014-10-29T03:03:02,,,,Appointment Management,1899-12-30T00:00:00,0,,621eb1ac5f4a11e4925a6817294aebff,,2014-10-30T10:16:54,0,0,,32,32,32
6b7063bc5f4a11e4925a6817294aebff,TT-BP003 Query Trouble Ticket History or Details,0.0,0.0,216e2e5f605011e4925a6817294aebff,"external party'sends query to request history or details of an existing Trouble Ticket.
An amend can be triggered where service provider sends notification to external party to provide more information on an open Trouble Ticket to assist with resolution or there may be scenarios where an appointment is required or to be rescheduled. external party will be notified via notifyInformationRequired.",Figure 50 Query Ticket History or Details,TT-BP003,2014-10-28T04:01:39,,,The flow does not cover message related errors or exceptions; it assumes a valid XML message and format.,Query Trouble Ticket History or Details,1899-12-30T00:00:00,0,,677b12735e8911e4925a6817294aebff,,2014-10-30T10:20:03,0,0,"external party has a sent valid message
Provided:",32,32,32
51b1e4eb5f4a11e4925a6817294aebff,OH-BP001 Submit a Product Connect Order,0.0,0.0,216e2e5f605011e4925a6817294aebff,"The end-to-end successful path of a new connect order request where external party'submits an order that is complete and valid. 
service provider notifies external party of its receipt and acceptance if valid. service provider then ensures that delivery is possible and sends a delivery acceptance to external party. Depending on the product/service being supplied one or more informational messages may be sent to external party updating the stages of the fulfilment process, for example if physical install is required and an appointment has not been reserved by external party, service provider sends a ?more information required? notification, advising external party that they need to arrange an appointment with the End User.",Figure 28 Request Connect Order Sequence Diagram,OH-BP001,2014-10-28T03:54:32,"Product/service delivered and is active.
Order is complete in both service provider and external party'systems.",,"Appointment details (e.g. time slot, demand type) have been provided within an order",Submit a Product Connect Order,1899-12-30T00:00:00,0,,691aec405e8811e4925a6817294aebff,,2014-10-30T10:21:25,0,0,"Order does not exist.
external party is authorised to place the order.",32,32,32
6b7063bc5f4a11e4925a6817294aebff,TT-BP005 Trouble Ticket Amendment,0.0,0.0,216e2e5f605011e4925a6817294aebff,"external party is requesting amendments be made to an open Trouble Ticket that has not been resolved. Amendment is captured in form of work info against the Trouble Ticket. Examples of supportable amends include: addition of work information (notes),  supporting information as an attachment, appointment identifier, and test results. 
An amend can be triggered where service provider sends notification to external party to provide more information on an open Trouble Ticket to assist with resolution or there may be scenarios where an appointment is required or to be rescheduled. external party will be notified via notifyInformationRequired.",Figure 51 Ticket Amendment: Add work info to open Trouble Ticket Process Flow,TT-BP005,2014-10-28T03:54:36,,,The flow does not cover message related errors or exceptions; it assumes a valid XML message and format.,Trouble Ticket Amendment,1899-12-30T00:00:00,0,,691aec415e8811e4925a6817294aebff,,2014-10-30T10:21:46,0,0,"external party has a sent valid message.
Open Trouble Ticket exists within the service provider domain.",32,32,32
,AM-BP006 Update details of existing appointment,0.0,0.0,216e2e5f605011e4925a6817294aebff,,Figure 46 Update Details to an Existing Appointment Process Flow,AM-BP006,2014-10-28T04:01:53,,,,Update details of existing appointment,1899-12-30T00:00:00,0,,6d8d92e75e8911e4925a6817294aebff,,2014-10-30T10:21:56,0,0,"external party has:
A sent valid message. 
An existing valid appointment.",32,32,32
51b1e4eb5f4a11e4925a6817294aebff,AM-BP001 Reserve an appointment,0.0,0.0,216e2e5f605011e4925a6817294aebff,"Note that transactions for amendment, cancellation and reschedule can also be utilised or applied for reserved appointments. 
external party can determine appointment availability for given demand type(s). Resource shortfall and the required demand type(s) are advised in the order feasibility response (PO-BP003) or alternatively through Notify Information Required within the Order Management (OH-BP008) or Trouble Ticket (TT-BP001) Management processes. service provider based on the external party query would respond with available slots. external party may select slot that meets their End User requirements and conducts a reservation.  Note that appointment reservation can be performed prior to order or Trouble Ticket creation for a defined period as stipulated by the business rules. 
Note that transactions for amendment, cancellation and reschedule can also be utilised or applied for reserved appointments.",,AM-BP001,2014-10-28T04:02:07,,,"Flow does not cover message related errors or exceptions, assumes a valid xml message and format",Reserve an appointment,1899-12-30T00:00:00,0,,7496d3085e8911e4925a6817294aebff,,2014-10-30T10:21:10,0,0,"external party has sent valid message.
external party been advised of resource shortfall and required demand type(s) via order feasibility response or alternatively via notifyInformationRequired as part of the Order Management or Trouble Ticket Management processes.
external party has requested available time slots from service provider for required demand type(s), location etc",32,32,32
51b1e4eb5f4a11e4925a6817294aebff,AM-BP002 Cancel an appointment,0.0,0.0,216e2e5f605011e4925a6817294aebff,external party initiated cancellation request for an existing appointment that is no longer required so that a truck roll does not occur.,,AM-BP002,2014-10-28T04:02:20,,,The Flow does not cover message related errors or exceptions; it assumes a valid XML message and format.,Cancel an appointment,1899-12-30T00:00:00,0,,7b0641e85e8911e4925a6817294aebff,,2014-10-30T10:17:35,0,0,"external party has sent valid message.
Valid appointment exists that is required to be cancelled.",32,32,32
,Assurance,0.0,0.0,216e2e5f605011e4925a6817294aebff,,,,2014-10-29T03:03:50,,,,Assurance,1899-12-30T00:00:00,0,,7ddfe5d65f4a11e4925a6817294aebff,,2014-10-30T10:17:10,0,0,,32,32,32
51b1e4eb5f4a11e4925a6817294aebff,OH-BP006 Amend In-flight Order,0.0,0.0,216e2e5f605011e4925a6817294aebff,"external party is requesting amendments be made to an in-flight order that has not yet completed provisioning up to the point of no return in the provisioning workflow. 
This may be a ?correction? or an amendment to Product attributes ? what is permitted will depend on the Product rules and may differ from Product to Product. Examples of supportable amends: contact details, speed, appointment re-schedule.  Examples of non-supported amends: location. If a change to the location is required then the current order must be cancelled (charges may be applied depending on what stage the order is at) and a new order submitted.",Figure 31 Amend In-flight Order Sequence Diagram,OH-BP006,2014-10-28T03:55:09,,,"The Flow does not cover message related errors or exceptions, and assumes a valid XML message and format.",Amend In-flight Order,1899-12-30T00:00:00,0,,7eccfb635e8811e4925a6817294aebff,"The location cannot be modified for an in-flight order.
The business rules for order amendment (and any applicable charges ? if any) will be defined and managed under the Wholesale Broadband Agreement.",2014-10-30T10:16:44,0,0,"The order exists.
The order has not been completed, rejected or cancelled.",32,32,32
51b1e4eb5f4a11e4925a6817294aebff,AM-BP013 Appointment Notifications,0.0,0.0,216e2e5f605011e4925a6817294aebff,"external party will receive the relevant status update notifications from service provider where the appointment transitions from once state to another. This section defines the service provider initiated event driven notification to advise external party any updates prior to appointment or on appointment day (e.g. extension to the estimated completion time to complete any outstanding tasks. service provider will attempt to send this at earliest possible where known. external party can use this information to assess for any impacts). 
service provider validates the Trouble Ticket, accepts and then progresses with resolution and reporting progress updates.",Figure 48 Keep Customer Informed Process Flow,AM-BP013,2014-10-28T03:55:12,Send KCI notification to external party,,The Flow does not cover message related errors or exceptions; it assumes a valid XML message and format.,Appointment Notifications,1899-12-30T00:00:00,0,,7eccfb645e8811e4925a6817294aebff,"Where the appointment estimated completion time requires to be extended to complete any outstanding tasks, service provider will attempt to send this at earliest possible where known. Extension would occur on End User consent 
In an appointment extension scenario, service provider will provide the anticipated revised estimated completion time",2014-10-30T10:17:00,0,0,"Not applicable
Provided:",32,32,32
6b7063bc5f4a11e4925a6817294aebff,TT-BP001 Assurance Ticket Process,0.0,0.0,216e2e5f605011e4925a6817294aebff,"external party has performed an service provider test on the service which has identified a potential Service Fault. external party raises a Service Restoration Trouble Ticket with service provider.   Alternatively, external party is requesting service provider action and raises a Service Enquiry Trouble Ticket.
service provider validates the Trouble Ticket, accepts and then progresses with resolution and reporting progress updates.",,TT-BP001,2014-10-28T03:55:15,,,The Flow does not cover message related errors or exceptions; it assumes a valid XML message and format.,Assurance Ticket Process,1899-12-30T00:00:00,0,,7eccfb655e8811e4925a6817294aebff,,2014-10-30T10:17:05,0,0,"external party has:
A sent valid message.
Performed any applicable diagnostic checks described in the service provider Operations Manual.",32,32,32
,Planning & Forecasting,0.0,0.0,216e2e5f605011e4925a6817294aebff,,,,2014-10-29T03:11:07,,,,Planning & Forecasting,1899-12-30T00:00:00,0,,837342f65f4b11e4925a6817294aebff,,2014-10-30T10:19:07,0,0,,32,32,32
,Pre-Order Management,0.0,0.0,216e2e5f605011e4925a6817294aebff,,,,2014-10-29T03:11:14,,,,Pre-Order Management,1899-12-30T00:00:00,0,,837342f85f4b11e4925a6817294aebff,,2014-10-30T10:19:12,0,0,,32,32,32
51b1e4eb5f4a11e4925a6817294aebff,OH-BP007 Cancel In-flight Order,0.0,0.0,216e2e5f605011e4925a6817294aebff,external party is placing an In-Flight Order cancellation request to cancel an order that has not completed provisioning.,Figure 32 Cancel In-flight Order Sequence Diagram,OH-BP007,2014-10-28T03:55:19,Order has been cancelled.,,"The Flow does not cover message related errors or exceptions, and assumes a valid XML message and format.",Cancel In-flight Order,1899-12-30T00:00:00,0,,84d8ec0d5e8811e4925a6817294aebff,,2014-10-30T10:17:45,0,0,"The order exists.
The order has not been completed, rejected or cancelled.",32,32,32
51b1e4eb5f4a11e4925a6817294aebff,OH-BP013 Held Order,0.0,0.0,216e2e5f605011e4925a6817294aebff,"service provider may require to pause the order progression while resolution of an issue affecting the NBN e.g. mass service disruption, QA issues on the passive network, capacity upgrades on core network etc which prevents delivery of services until resolved, migration issues that cause orders to be paused until resolved. This may or may not impact the associated appointments for such orders. 
When service provider completes handling a Product order the full Product instance information is provided to external party.  This information is persisted in external party's logical and physical inventory systems.  external party will use their own inventory as the first point of reference.  However, as service provider is the database of record (or point of truth) for Product Instance information, the B2B Access supports the ability for external party to request the Product information so that their systems can be aligned or reconciled to service provider.",Figure 38 Held Order Interaction Diagram,OH-BP013,2014-10-28T03:55:22,"Notify external party of status update and provide planned remediation date 
Once issue is resolved, if a new installation appointment is required,or an existing installation appointment rescheduled, service provider will send a notification to external party",,"The Flow does not cover message related errors or exceptions, and assumes a valid XML message and format.",Held Order,1899-12-30T00:00:00,0,,84d8ec0e5e8811e4925a6817294aebff,,2014-10-30T10:17:55,0,0,Order is held till internal issue resolved,32,32,32
6b7063bc5f4a11e4925a6817294aebff,TT-BP011 Held Trouble Ticket,0.0,0.0,216e2e5f605011e4925a6817294aebff,"service provider may require to pause the trouble ticket progression while resolution of an issue affecting the NBN e.g. mass service disruption, QA issues on the passive network etc., that cause trouble ticket to be paused until resolved. This may or may not impact the associated appointments for such trouble tickets. 
Once external party has obtained the information required by service provider, external party responds to the request by executing the Trouble Ticket Amend operation, which would then follow the standard amend Trouble Ticket process. Alternatively in scenarios where an Appointment reschedule is required, external party will reschedule the Appointment which will automatically update the Trouble Ticket once confirmed (i.e. no amend Trouble Ticket operation is required).",Figure 57 Held Trouble Ticket Interaction Diagram,TT-BP011,2014-10-28T03:55:25,,,"The Flow does not cover message related errors or exceptions, and assumes a valid XML message and format.",Held Trouble Ticket,1899-12-30T00:00:00,0,,84d8ec0f5e8811e4925a6817294aebff,,2014-10-30T10:18:00,0,0,Trouble Ticket is held until the internal issue resolved,32,32,32
51b1e4eb5f4a11e4925a6817294aebff,OH-BP011 Inform Jeopardy or Delay,0.0,0.0,216e2e5f605011e4925a6817294aebff,service provider has identified that either an order milestone is not completed within its defined time frame or order is not going to be completed by its planned completion date.,Figure 36 Jeopardy or Delay Notification Sequence Diagram,OH-BP011,2014-10-28T03:55:29,,,"The Flow does not cover message related errors or exceptions, and assumes a valid XML message and format.",Inform Jeopardy or Delay,1899-12-30T00:00:00,0,,8aeb6c805e8811e4925a6817294aebff,,2014-10-30T10:18:05,0,0,"The order exists and is in progress.
service provider has identified a jeopardy in progressing the Order where an order milestone is not completed within its defined time frame which may lead to the delay of an order, or
service provider has identified the order will not be completed by planned completion date causing delay.",32,32,32
51b1e4eb5f4a11e4925a6817294aebff,OH-BP004 Submit a Product Disconnect Order,0.0,0.0,216e2e5f605011e4925a6817294aebff,external party is placing an order as one of their activities to cancel an existing service supplied to the End User. A disconnect order can only apply for a single location.,,OH-BP004,2014-10-28T03:55:36,"The existing service/s has been disconnected.
Order complete in both service provider and external party'systems.",,"The Flow does not cover message related errors or exceptions, and assumes a valid XML message and format.",Submit a Product Disconnect Order,1899-12-30T00:00:00,0,,8aeb6c815e8811e4925a6817294aebff,,2014-10-30T10:21:31,0,0,"external party has been authenticated and is authorised to order 
Service exists and is active",32,32,32
,Product Catalogue Enquiry,0.0,0.0,216e2e5f605011e4925a6817294aebff,,,,2014-10-29T03:11:22,,,,Product Catalogue Enquiry,1899-12-30T00:00:00,0,,8b0f284c5f4b11e4925a6817294aebff,,2014-10-30T10:19:17,0,0,,32,32,32
51b1e4eb5f4a11e4925a6817294aebff,OH-BP005 Submit a Product Modify Order,0.0,0.0,216e2e5f605011e4925a6817294aebff,"external party is requesting a modification be made to an active service. 
This may be a ?correction? or an amendment to Product attributes ? what is permitted will depend on the Product rules and may differ from Product to Product. Examples of supportable amends: contact details, speed, appointment re-schedule.  Examples of non-supported amends: location. If a change to the location is required then the current order must be cancelled (charges may be applied depending on what stage the order is at) and a new order submitted.",,OH-BP005,2014-10-28T03:55:39,"The existing service/s has been modified and is active.
Order is complete in both service provider and external party'systems.",,"The Flow does not cover message related errors or exceptions, and assumes a valid XML message and format.",Submit a Product Modify Order,1899-12-30T00:00:00,0,,9111753c5e8811e4925a6817294aebff,,2014-10-30T10:21:36,0,0,"external party has been authenticated and is authorised to modify a service.
Service exists and belongs to the requesting external party.",32,32,32
6b7063bc5f4a11e4925a6817294aebff,TT-BP006 Trouble Ticket Jeopardy/ Delay,0.0,0.0,216e2e5f605011e4925a6817294aebff,service provider sends notification to external party where a relevant Service Level is in jeopardy will not be met.,Figure 52 Trouble Ticket Jeopardy Process Flow,TT-BP006,2014-10-28T03:55:43,Send notification to external party advising of jeopardy or delay.,,The flow does not cover message related errors or exceptions; it assumes a valid XML message and format.,Trouble Ticket Jeopardy/ Delay,1899-12-30T00:00:00,0,,9111753d5e8811e4925a6817294aebff,,2014-10-30T10:21:51,0,0,"Not applicable
Provided:",32,32,32
,,0.0,0.0,216e2e5f605011e4925a6817294aebff,,,,2014-10-28T04:02:56,,,,Request Previous Billing Invoic,1899-12-30T00:00:00,0,,957d8c1a5e8911e4925a6817294aebff,,2014-10-30T10:20:34,0,0,,32,32,32
,Query Billing Enquiry or Dispute Ticket Details,0.0,0.0,216e2e5f605011e4925a6817294aebff,,,,2014-10-29T03:11:47,,,,Query Billing Enquiry or Dispute Ticket Details,1899-12-30T00:00:00,0,,9b45f0225f4b11e4925a6817294aebff,,2014-10-30T10:19:33,0,0,,32,32,32
