@CWAVERAGERATING,@CWTOTALCOMMENT,@TYPE,@CAPABILITYIDENTIFIER,@EXPORTFLAG,@DATEVALIDATED,@WHENUPDATED,@GROUPSTRATIFICATION,@WHENCREATED,@NAME,@UNIQUEIDENTIFIER,@MATURITYLEVEL,@TEMPLATE,@DESCRIPTION,@VALIDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.1.4.3,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel Risk Aggregation,111856b4b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to consider a collective set of risk factors about a channel and represent them from a rationalized perspective.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.2.2.7.1,0,1899-12-30T00:00:00,2020-06-26T13:36:55,171406e3b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel Access Management,111856b5b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,"The ability to establish, control, and administer the level and extent of physical or virtual constraints associated with a channel.
The ability to establish, control, restrict and administer rights to view, use, or change a channel in a variety of contexts.",0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.1.5.1,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel Access Constraints Definition,111856b6b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to define and impose limitations of access rights to a given channel or set of channels.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.1.5.2,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel Access Constraints Interpretation,111856b7b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to understand imposed access rights limitations for a given channel or set of channels.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.1.5.3,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel Access Enforcement,111856b8b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to ensure that access rights are granted where constraints are not appropriate and to prevent access where constraints are in place to prevent access.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856a8b7b211ea80f1000d3a02ed0d,1.1.1.6,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel Performance Management,111856b9b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,"The ability to estimate the performance, profitability, and effectiveness of a channel.",0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.1.6.1,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel Performance Threshold Setting,111856bab7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to determine acceptable or unacceptable levels of performance.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.1.6.2,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel Performance Threshold Measurement,111856bbb7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to determine if a channel is exceeding or falling short of an acceptable threshold of performance.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.1.6.3,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel Performance Constraints Determination,111856bcb7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to assess what is causing a channel to under perform.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856a8b7b211ea80f1000d3a02ed0d,1.1.1.7,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel Matching,111856bdb7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to associate a channel with other business objects.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.1.7.1,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel/Strategy Matching,111856beb7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to align a given approach to channel management based on one or more business strategies.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.1.7.2,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel/Location Matching,111856bfb7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to associate a channel with the location where it is valid or enabled.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.1.7.3,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel/Policy Matching,111856c0b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to associate a channel with a policy.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856a8b7b211ea80f1000d3a02ed0d,1.1.1.8,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel Information Management,111856c1b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,"The ability to organize, track, report on, or otherwise disseminate attributes, data, and other perspectives about a channel.",0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.1.8.1,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel Profile Management,111856c2b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,"The ability to articulate, organize, track, validate, and otherwise administer descriptive, identifying information about a channel and its relationships.",0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.1.8.2,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel Type Management,111856c3b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to define and maintain classifications of channels.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.1.8.3,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel State Management,111856c4b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,"The ability to determine, modify, and interpret the status or condition of a channel.",0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.1.8.4,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel History Management,111856c5b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,"The ability to identify, record, and represent a chronological order of events and actions associated with a channel.",0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.1.8.5,0,1899-12-30T00:00:00,2020-06-26T13:36:43,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:43,Channel Analytics Management,111856c6b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,"The ability to identify, establish, validate, and articulate metrics and measures on historic and predictive determinations for one or more channels.",0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856c8b7b211ea80f1000d3a02ed0d,1.1.1.8.5.1,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Channel Analytics Creation,111856c9b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to leverage various calculations to derive analytics for channels within the organization.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856c8b7b211ea80f1000d3a02ed0d,1.1.1.8.5.2,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Channel Analytics Pattern Management,111856cab7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to evaluate and ascertain commonalities across a set of analytical information for channels.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856a8b7b211ea80f1000d3a02ed0d,1.1.1.9,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Channel Lifecycle Management,111856cbb7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,"The ability to make decisions concerning a channel over time, between the time they are created until they are closed down.",0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.1.9.1,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Channel lifecycle Stage Definition,111856ccb7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to define the different Lifecycle stages for a customer,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.1.9.2,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Channel Retirement Determination,111856cdb7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to make decision(s) on when a channel should be retired from use by the business.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856a3b7b211ea80f1000d3a02ed0d,1.1.2,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Customer Management,111856ceb7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,"The ability to control, predict, process, organize, present and analyze all information, documents, preferences, experiences and history related to an individual or organization that has, plans to have or has had an account with the organization. {includes contact management}",0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856a8b7b211ea80f1000d3a02ed0d,1.1.2.1,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Customer Definition,111856cfb7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to identify and record the existence of a customer for the purposes of engaging with that customer on an ongoing basis.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856a8b7b211ea80f1000d3a02ed0d,1.1.2.2,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Customer Preference Management,111856d0b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,"The ability to capture, represent, analyze and act upon explicit or implicit wants, needs, inclinations, leanings, likings, options or expectations — expressed formally or informally — as determined or derived from a combination of sources and associated with a customer.",0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.2.2.1,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Customer Preference Definition,111856d1b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to characterize the preferences that are related to a customer.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.2.2.2,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Customer Preference Interpretation,111856d2b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to understand and determine the meanings or intentions of the differences in preference patterns of a customer.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.2.2.3,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Customer Preference Enforcement,111856d3b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,"The ability to ensure that the business acknowledges and complies with customer-related preferences, particularly where those preferences are explicitly defined by the customer.",0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856a8b7b211ea80f1000d3a02ed0d,1.1.2.3,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Customer Risk Management,111856d4b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to evaluate the risk associated with entering into an agreement with a customer.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.2.3.1,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Customer Risk Level Determination,111856d5b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to identify and define the level of risk associated with a customer.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.2.3.2,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Customer Risk Threshold Determination,111856d6b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to identify and define the level of acceptable risk associated with a customer.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.2.3.3,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Customer Risk Aggregation,111856d7b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to consider a collective set of risk factors about a customer and represent them from a rationalized perspective.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856a8b7b211ea80f1000d3a02ed0d,1.1.2.4,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Customer Authentication and Authorization,111856d8b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to verify customer identity and access rights in context of a given business scenario and allow a customer to proceed based on those rights or otherwise prevent the customer from proceeding.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.2.4.1,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Customer Identification,111856d9b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to determine that a customer is who they claim to be in context of a specific scenario or point of contact.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.2.4.2,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Customer Access Rights Determination,111856dab7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,"The ability to determine if a customer may enter, view, modify, or otherwise proceed with a given task or point of entry, based on their authorization to proceed.",0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.2.4.3,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Customer Access Restriction,111856dbb7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to prevent a customer from proceeding with a given task or point of entry based on not having authorization to do so.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856a8b7b211ea80f1000d3a02ed0d,1.1.2.5,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Customer Portfolio Management,111856dcb7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,"The ability to articulate and evaluate the collective set of agreements associated with a customer with the intention of determining the value of, modifying, or optimizing the balance of that collective set of customer-owned agreements.",0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.2.5.1,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Customer Portfolio Articulation,111856ddb7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to determine if the customer's product portfolio is meeting the threshold of customer- expressed desires and expectations.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.2.5.2,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Customer Portfolio Performance Determination,111856deb7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to evaluate the performance of the customer products and services as input to possible optimization of their portfolio.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856a8b7b211ea80f1000d3a02ed0d,1.1.2.6,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Customer Matching,111856dfb7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,"The ability to associate customer with devices, products/services, other customers, partners and messages.",0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.2.6.1,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Customer/Strategy Matching,111856e0b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to associate a customer with a strategy and its objectives and goals.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.2.6.2,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Customer/Plan Matching,111856e1b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to associate a customer with a plan.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.2.6.3,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Customer/Program Matching,111856e2b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to associate a customer with a program.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.2.6.4,0,1899-12-30T00:00:00,2020-06-26T13:36:44,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:44,Customer/Market Matching,111856e3b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to associate a customer with a market.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.2.6.5,0,1899-12-30T00:00:00,2020-06-26T13:36:45,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:45,Customer/Product Matching,111856e4b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to associate a customer with one or more products.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.2.6.6,0,1899-12-30T00:00:00,2020-06-26T13:36:45,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:45,Customer/Customer Matching,111856e5b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,"The ability to associate one customer with another based on a relationship, including, for example, relationships among family members under a common agreement.",0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.2.6.7,0,1899-12-30T00:00:00,2020-06-26T13:36:45,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:45,Customer/Partner Matching,111856e6b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to associate a customer with a partner that has a formal or other type of relationship to that customer.,0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.2.6.8,0,1899-12-30T00:00:00,2020-06-26T13:36:45,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:45,Customer/Human Resource Matching,111856e7b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,"The ability to associate a customer with an employee, where an employee may be assigned to a customer for a period of time, for example, personal banker or rehabilitation specialist.",0,ATALMOR,ATALMOR,ATALMOR
0.0,0.0,111856adb7b211ea80f1000d3a02ed0d,1.1.2.6.9,0,1899-12-30T00:00:00,2020-06-26T13:36:45,111856a1b7b211ea80f1000d3a02ed0d,2020-06-26T13:36:45,Customer/Location Matching,111856e8b7b211ea80f1000d3a02ed0d,111856a5b7b211ea80f1000d3a02ed0d,0,The ability to associate a customer with one or more permanent or temporary locations.,0,ATALMOR,ATALMOR,ATALMOR
