@BUSINESSVALUE,@DATEVALIDATED,@GID,@WHENCREATED,@TYPE,@GROUP,@CWTOTALCOMMENT,@ALTFRAMEWORXMETRICID,@MATURITY,@EGID,@SORTID,@UNITS,@NAME,@CWAVERAGERATING,@EXPORTFLAG,@TEMPLATE,@ENTRYDATE,@VALIDATED,@DESCRIPTION,@CATEGORY1,@WHENUPDATED,@CATEGORY2,@BUSINESSVALUE_MLT,@BUSINESSOBJECTS,@UNIQUEIDENTIFIER,@TXTFORMULA,@CATEGORY3,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,1899-12-30T00:00:00,206,2018-04-16T18:50:21,94e8408331e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,$ Stranded And Unused Asset Cost,3bb730b8309111e880d4000d3a02ed0d,,206,Currency,206,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Sum of cost of all stranded and unused assets in the period; 
EXCLUDES: Assets not related to individual subscribers such as shared network assets. Only includes assets that are specific to individual subscribers (individuals or enterprises). Some examples of the included assets are: Lease Line, DSL ports, setup boxes, unused HLR/SDP records",,2021-07-28T20:46:46,,,,024c5c6541a711e880d5000d3a02ed0d,,,DFREED,DFREED,DFREED
decrease revenue loss,1899-12-30T00:00:00,13,2018-04-16T18:50:21,94e8407f31e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,"% Stranded And Unused Asset Cost, Of Revenue",3bb730b8309111e880d4000d3a02ed0d,G-RM-RA-RLg,13,Percent,13,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Total number of SO orders - number of  SO orders successfully closed on initial completion, applies for each defect type during process flow from Order to Activation; 
EXCLUDES: rework in sales",Revenue & Margin,2021-07-28T20:46:07,General,decrease revenue loss,[Revenue],024c5c6941a711e880d5000d3a02ed0d,$ Stranded And Unused Asset Cost / $ Revenue,Revenue Assurance - Revenue Leakage,DFREED,DFREED,DFREED
,1899-12-30T00:00:00,269,2018-04-16T18:50:21,94e8408331e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,# Settlement Reports Verified And Accepted,3bb730b8309111e880d4000d3a02ed0d,,269,Number,269,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: SP Settlement Reports on which no dispute is outstanding; 
EXCLUDES: Any reports under dispute or not accepted",,2021-07-28T20:47:11,,,,024c5c6a41a711e880d5000d3a02ed0d,,,DFREED,DFREED,DFREED
,1899-12-30T00:00:00,254,2018-04-16T18:50:21,94e8408331e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,# Settlement Reports,3bb730b8309111e880d4000d3a02ed0d,,254,Number,254,0.0,0,0,2012-09-30T00:00:00,0,INCLUDES: All SP Settlement Reports irrespective of status during the period in question,,2021-07-28T20:47:03,,,,024c5c6c41a711e880d5000d3a02ed0d,,,DFREED,DFREED,DFREED
decrease revenue loss; decrease problems -> decrease operating cost,1899-12-30T00:00:00,14,2018-04-16T18:50:21,94e8407f31e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,% Settlement Reports Verified And Accepted,3bb730b8309111e880d4000d3a02ed0d,G-RM-RA-RLh,14,Percent,14,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Total number of SO orders - number of  SO orders successfully closed on initial completion, applies for each defect type during process flow from Order to Activation; 
EXCLUDES: rework in sales",Revenue & Margin,2021-07-28T20:46:12,General,decrease revenue loss; decrease problems -> decrease operating cost,[Settlement_Report],024c5c6f41a711e880d5000d3a02ed0d,# Settlement Reports Verified And Accepted / # Settlement Reports,Revenue Assurance - Revenue Leakage,DFREED,DFREED,DFREED
,1899-12-30T00:00:00,130,2018-04-16T18:50:21,94e8408331e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,$ Revenue Overbilled,3bb730b8309111e880d4000d3a02ed0d,G-RM-RA-RLk,130,Currency,130,0.0,0,0,2012-09-30T00:00:00,0,"ADDITIONAL COMMENTS: Currency needs to be adapted for IMF PPP. Similar to RA-RLj but in a monetary value instead of Ratio.; 
INCLUDES: The detected revenue that is overbilled  to the customer or to 3rd parties",Revenue & Margin,2021-07-28T20:46:07,General,,,024c5c7041a711e880d5000d3a02ed0d,,Revenue Assurance - Revenue Leakage,DFREED,DFREED,DFREED
decrease problems -> increase customer satisfaction; decrease problems -> decrease operating cost,1899-12-30T00:00:00,15,2018-04-16T18:50:22,94e8407f31e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,% Revenue Overbilled,3bb730b8309111e880d4000d3a02ed0d,G-RM-RA-RLj,15,Percent,15,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Total number of SO orders - number of  SO orders successfully closed on initial completion, applies for each defect type during process flow from Order to Activation; 
EXCLUDES: rework in sales",Revenue & Margin,2021-07-28T20:46:18,General,decrease problems -> increase customer satisfaction; decrease problems -> decrease operating cost,[Revenue],024c5c7441a711e880d5000d3a02ed0d,$ Revenue Overbilled / $ Revenue,Revenue Assurance - Revenue Leakage,DFREED,DFREED,DFREED
decrease revenue loss,1899-12-30T00:00:00,131,2018-04-16T18:50:22,94e8408331e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,$ Revenue Recovered,3bb730b0309111e880d4000d3a02ed0d,G-RM-RA-PEb,131,Currency,131,0.0,0,0,2012-09-30T00:00:00,0,"ADDITIONAL COMMENTS: Currency needs to be adapted for IMF PPP, If for internal use only, adjustment by IMF PPP not required. Similar to RA-PEa but in a monetary value instead of Ratio. This KPI measures not the efficiency of RA department of the company but the efficiency of RA process in the company.; 
INCLUDES: Leakage that is recovered; 
EXCLUDES: Not a leakage or not recovered",Revenue & Margin,2021-07-28T20:46:08,General,decrease revenue loss,,024c5c7541a711e880d5000d3a02ed0d,,Revenue Assurance - Control Efficiency,DFREED,DFREED,DFREED
,1899-12-30T00:00:00,16,2018-04-16T18:50:22,94e8407f31e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,% Revenue Recovered,3bb730b0309111e880d4000d3a02ed0d,G-RM-RA-PEa,16,Percent,16,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Total number of SO orders - number of  SO orders successfully closed on initial completion, applies for each defect type during process flow from Order to Activation; 
EXCLUDES: rework in sales",Revenue & Margin,2021-07-28T20:46:23,General,,[Revenue],024c5c7941a711e880d5000d3a02ed0d,$ Revenue Recovered / $ Revenue,Revenue Assurance - Control Efficiency,DFREED,DFREED,DFREED
,1899-12-30T00:00:00,268,2018-04-16T18:50:22,94e8408331e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,$ Revenue Recoverable,3bb730b0309111e880d4000d3a02ed0d,,268,Currency,268,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Leakage that is recoverable; 
EXCLUDES: Not a leakage or not recoverable or already recovered
From TID=267:
ADDITIONAL COMMENTS: If for internal use only, adjustment by IMF PPP not required. Similar to RA-PEc but in a monetary value instead of Ratio. This KPI measures not the efficiency of RA department of the company but the efficiency of RA process in the company.; 
INCLUDES: Leakege that is recoverable; 
EXCLUDES: Not a leakage or not recoverable or already recovered in previous period",,2021-07-28T20:47:10,,,,024c5c7a41a711e880d5000d3a02ed0d,,,DFREED,DFREED,DFREED
,1899-12-30T00:00:00,18,2018-04-16T18:50:22,94e8407f31e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,% Revenue Recoverable,3bb730b0309111e880d4000d3a02ed0d,G-RM-RA-PEc,18,Percent,18,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Total number of SO orders - number of  SO orders successfully closed on initial completion, applies for each defect type during process flow from Order to Activation; 
EXCLUDES: rework in sales",Revenue & Margin,2021-07-28T20:46:34,General,,[Revenue],024c5c7e41a711e880d5000d3a02ed0d,$ Revenue Recoverable / $ Revenue,Revenue Assurance - Control Efficiency,DFREED,DFREED,DFREED
,1899-12-30T00:00:00,196,2018-04-16T18:50:22,94e8408331e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,# Months Revenue Recovery Process Time,3bb730b8309111e880d4000d3a02ed0d,,196,Month,196,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Sum of recovery periods (from leakage discovered time to billed to customer or 3rd party) of all recovered cases; 
EXCLUDES: Excludes all revenue leakage cases still unrecovered.",,2021-07-28T20:46:42,,,,024c5c7f41a711e880d5000d3a02ed0d,,,DFREED,DFREED,DFREED
,1899-12-30T00:00:00,248,2018-04-16T18:50:22,94e8408331e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,# Revenue Recovery Cases,3bb730b8309111e880d4000d3a02ed0d,,248,Number,248,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: All recovered revenue cases in the period; 
EXCLUDES: Excludes all revenue leakage cases still unrecovered.",,2021-07-28T20:47:00,,,,024c5c8141a711e880d5000d3a02ed0d,,,DFREED,DFREED,DFREED
decrease operating cost,1899-12-30T00:00:00,20,2018-04-16T18:50:22,94e8407f31e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,"# Months Revenue Recovery Process Time, Per Revenue Recovery Case",3bb730b8309111e880d4000d3a02ed0d,G-RM-RA-PEe,20,Day,20,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Total number of SO orders - number of  SO orders successfully closed on initial completion, applies for each defect type during process flow from Order to Activation; 
EXCLUDES: rework in sales",Revenue & Margin,2021-07-28T20:46:43,General,decrease operating cost,,024c5c8441a711e880d5000d3a02ed0d,# Months Revenue Recovery Process Time / # Revenue Recovery Cases,Revenue Assurance - Control Efficiency,DFREED,DFREED,DFREED
,1899-12-30T00:00:00,158,2018-04-16T18:50:22,94e8408331e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,$ Revenue Recovered And Recoverable,3bb730b0309111e880d4000d3a02ed0d,,158,Currency,158,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: The revenue that is billed or could be billed to the customer due to Leakages discovery; 
EXCLUDES: Amount Billed due to regular operational processes",,2021-07-28T20:46:22,,,,024c5c8541a711e880d5000d3a02ed0d,,,DFREED,DFREED,DFREED
,1899-12-30T00:00:00,22,2018-04-16T18:50:22,94e8407f31e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,% Revenue Recovered And Recoverable,3bb730b0309111e880d4000d3a02ed0d,G-RM-RA-PEg,22,Percent,22,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Total number of SO orders - number of  SO orders successfully closed on initial completion, applies for each defect type during process flow from Order to Activation; 
EXCLUDES: rework in sales",Revenue & Margin,2021-07-28T20:46:50,General,,[Revenue],024c5c8941a711e880d5000d3a02ed0d,$ Revenue Recovered And Recoverable / $ Revenue,Revenue Assurance - Control Efficiency,DFREED,DFREED,DFREED
,1899-12-30T00:00:00,266,2018-04-16T18:50:22,94e8408331e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,# Data Records Validated,3bb730b0309111e880d4000d3a02ed0d,,266,Number,266,0.0,0,0,2012-09-30T00:00:00,0,INCLUDES: Number of records that have been validated from all the systems,,2021-07-28T20:47:09,,,,024c5c8a41a711e880d5000d3a02ed0d,,,DFREED,DFREED,DFREED
,1899-12-30T00:00:00,234,2018-04-16T18:50:22,94e8408331e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,# Data Records,3bb730b0309111e880d4000d3a02ed0d,,234,Number,234,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Total number of data records from all systems; 
EXCLUDES: Internal or special data, as required",,2021-07-28T20:46:53,,,,024c5c8c41a711e880d5000d3a02ed0d,,,DFREED,DFREED,DFREED
decrease revenue loss; decrease problems -> increase customer satisfaction; decrease problems -> decrease operating cost,1899-12-30T00:00:00,23,2018-04-16T18:50:22,94e8407f31e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,% Data Records Validated,3bb730b0309111e880d4000d3a02ed0d,G-RM-RA-DQa,23,Percent,23,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Total number of SO orders - number of  SO orders successfully closed on initial completion, applies for each defect type during process flow from Order to Activation; 
EXCLUDES: rework in sales",Revenue & Margin,2021-07-28T20:46:52,General,decrease revenue loss; decrease problems -> increase customer satisfaction; decrease problems -> decrease operating cost,,024c5c8f41a711e880d5000d3a02ed0d,# Data Records Validated / # Data Records,Revenue Assurance - Data Quality,DFREED,DFREED,DFREED
,1899-12-30T00:00:00,173,2018-04-16T18:50:22,94e8408331e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,# Customers Included In Reconciliation,3bb730b0309111e880d4000d3a02ed0d,,173,Number,173,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Customers who are included to reconciliation between Billing, CRM, HLR and Provisioning IN; 
EXCLUDES: Other platforms than the ones specified above",,2021-07-28T20:46:30,,,,024c5c9041a711e880d5000d3a02ed0d,,,DFREED,DFREED,DFREED
decrease revenue loss; decrease problems -> increase customer satisfaction; decrease problems -> decrease operating cost,1899-12-30T00:00:00,24,2018-04-16T18:50:22,94e8407f31e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,% Customers Included In Reconciliation,3bb730b0309111e880d4000d3a02ed0d,G-RM-RA-DQb,24,Percent,24,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Total number of SO orders - number of  SO orders successfully closed on initial completion, applies for each defect type during process flow from Order to Activation; 
EXCLUDES: rework in sales",Revenue & Margin,2021-07-27T17:19:13,General,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN""><html><head><META content=""text/html; charset=utf-8"" http-equiv=Content-Type><META name=GENERATOR content=""MSHTML 8.00.6001.19088""></head><body>
<p>decrease revenue loss; decrease problems -&gt; increase customer satisfaction; decrease problems -&gt; decrease operating cost</p>
</body>
</html>",[Customer],024c5c9441a711e880d5000d3a02ed0d,# Customers Included In Reconciliation / # Customers,Revenue Assurance - Data Quality,DFREED,DFREED,DFREED
,1899-12-30T00:00:00,242,2018-04-16T18:50:22,94e8408331e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,# Data Records Misaligned,3bb730b8309111e880d4000d3a02ed0d,,242,Number,242,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Collective volume of data in terms of records from multiple systems, which are misaligned; 
EXCLUDES: Aligned data records",,2021-07-28T20:46:57,,,,024c5c9541a711e880d5000d3a02ed0d,,,DFREED,DFREED,DFREED
decrease revenue loss; decrease problems -> increase customer satisfaction; decrease problems -> decrease operating cost,1899-12-30T00:00:00,25,2018-04-16T18:50:23,94e8407f31e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,% Data Records Misaligned,3bb730b8309111e880d4000d3a02ed0d,G-RM-RA-DQc,25,Percent,25,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Total number of SO orders - number of  SO orders successfully closed on initial completion, applies for each defect type during process flow from Order to Activation; 
EXCLUDES: rework in sales",Revenue & Margin,2021-07-28T20:47:01,General,decrease revenue loss; decrease problems -> increase customer satisfaction; decrease problems -> decrease operating cost,,024c5c9941a711e880d5000d3a02ed0d,# Data Records Misaligned / # Data Records,Revenue Assurance - Data Quality,DFREED,DFREED,DFREED
decrease revenue loss; decrease problems -> increase customer satisfaction; decrease problems -> decrease operating cost,1899-12-30T00:00:00,26,2018-04-16T18:50:23,94e8407f31e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,% Customers Misaligned,3bb730b8309111e880d4000d3a02ed0d,G-RM-RA-DQd,26,Percent,26,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Total number of SO orders - number of  SO orders successfully closed on initial completion, applies for each defect type during process flow from Order to Activation; 
EXCLUDES: rework in sales",Revenue & Margin,2021-07-27T17:19:36,General,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN""><html><head><META content=""text/html; charset=utf-8"" http-equiv=Content-Type><META name=GENERATOR content=""MSHTML 8.00.6001.19088""></head><body>
<p>decrease revenue loss; decrease problems -&gt; increase customer satisfaction; decrease problems -&gt; decrease operating cost</p>
</body>
</html>",[Customer],024c5c9d41a711e880d5000d3a02ed0d,# Customers Misaligned / # Customers,Revenue Assurance - Data Quality,DFREED,DFREED,DFREED
,1899-12-30T00:00:00,270,2018-04-16T18:50:23,94e8408331e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,$ Cost Leakage Detected And Recovered,3bb730b0309111e880d4000d3a02ed0d,,270,Currency,270,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Cost Leakage that is recovered. Costs included are OpEx costs directly related to the delivered services. These costs will include call termination, International/Transit termination costs, Roaming costs, content, ringtones and other direct costs; 
EXCLUDES: Vendor related costs such as network support and IT supplier costs and purchasing costs in general. Costs which are not a leakage or not recovered. Costs which are not OpEx.",,2021-07-28T20:47:11,,,,024c5c9e41a711e880d5000d3a02ed0d,,,DFREED,DFREED,DFREED
,1899-12-30T00:00:00,105,2018-04-16T18:50:23,94e8407f31e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,"% Cost Leakage Detected And Recovered, Of Revenue",3bb730b0309111e880d4000d3a02ed0d,G-RM-CA-PEa,105,Percent,105,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Total number of SO orders - number of  SO orders successfully closed on initial completion, applies for each defect type during process flow from Order to Activation; 
EXCLUDES: rework in sales",Revenue & Margin,2021-07-28T20:45:55,General,,,024c5ca241a711e880d5000d3a02ed0d,$ Cost Leakage Detected And Recovered / $ Revenue,Cost Assurance - Control Efficiency,DFREED,DFREED,DFREED
,1899-12-30T00:00:00,271,2018-04-16T18:50:23,94e8408331e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,$ Cost Leakage Detected And Not Recovered,3bb730b0309111e880d4000d3a02ed0d,,271,Currency,271,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Cost Leakage that is not recovered. Costs included are OpEx costs directly related to the delivered services. These costs will include call termination, International/Transit termination costs, Roaming costs, content, ringtones and other direct costs.; 
EXCLUDES: Vendor related costs such as network support and IT supplier costs and purchasing costs in general. Costs which are not a leakage. Costs which are not OpEx.",,2021-07-28T20:47:12,,,,024c5ca341a711e880d5000d3a02ed0d,,,DFREED,DFREED,DFREED
,1899-12-30T00:00:00,106,2018-04-16T18:50:23,94e8407f31e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,"% Cost Leakage Detected And Not Recovered, Of Revenue",3bb730b0309111e880d4000d3a02ed0d,G-RM-CA-PEb,106,Percent,106,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: Total number of SO orders - number of  SO orders successfully closed on initial completion, applies for each defect type during process flow from Order to Activation; 
EXCLUDES: rework in sales",Revenue & Margin,2021-07-28T20:45:56,General,,,024c5ca741a711e880d5000d3a02ed0d,$ Cost Leakage Detected And Not Recovered / $ Revenue,Cost Assurance - Control Efficiency,DFREED,DFREED,DFREED
,1899-12-30T00:00:00,132,2018-04-16T18:50:24,94e8408331e511e880d4000d3a02ed0d,3bb730ae309111e880d4000d3a02ed0d,0.0,"$ Revenue, By Channel Type",3bb730b8309111e880d4000d3a02ed0d,,132,Currency,132,0.0,0,0,2012-09-30T00:00:00,0,"INCLUDES: SO Revenue contribution by channel type. Separated by Detail above; 
EXCLUDES: Non order related revenue, such as interest
From TID=188:
INCLUDES: SO Revenue contribution by channel type, CPE revenue allocation. Separated by Detail above; 
EXCLUDES: Non order related revenue, such as interest, Handset revenue (mobile SO)",,2021-07-28T20:46:08,,,,024c5cb641a711e880d5000d3a02ed0d,,,DFREED,DFREED,DFREED
